Wall time,Step,Value
1720300878.0412977,1024,128.0
1720300878.1095452,1040,130.0
1720300878.206867,1064,133.0
1720300878.917341,1256,157.0
1720300879.074227,1296,162.0
1720300879.899629,1520,190.0
1720300880.824585,1776,222.0
1720300882.2338483,2152,269.0
1720300882.6753592,2272,151.0
1720300883.4870322,2504,185.0
1720300883.7744286,2584,193.0
1720300883.839031,2600,168.0
1720300885.7811897,3160,233.0
1720301324.8301904,3208,179.0
1720301325.7337668,3456,163.0
1720301326.2974641,3616,168.0
1720301326.5030334,3672,146.0
1720301326.7983437,3752,144.0
1720301327.7048426,4008,178.0
1720301328.9897616,4368,151.0
1720301330.2232616,4712,212.0
1720301330.5461767,4800,131.0
1720301330.889371,4896,180.0
1720301332.7181385,5424,177.0
1720301333.827341,5736,316.0
1720301334.1448216,5824,276.0
1720301334.2383816,5848,185.0
1720301334.3039792,5864,144.0
1720301334.3408651,5872,134.0
1720301750.831939,6504,201.0
1720301750.9270642,6528,138.0
1720301751.5686355,6704,188.0
1720301752.3390522,6920,132.0
1720301754.0125737,7392,196.0
1720301755.3218882,7768,133.0
1720301755.661043,7864,249.0
1720301756.1960754,8016,285.0
1720301756.3118033,8048,193.0
1720301757.8245723,8504,247.0
1720301759.9255064,9120,138.0
1720301759.9857411,9136,277.0
1720301760.159203,9184,283.0
1720301760.2209656,9200,226.0
1720301760.7506762,9352,186.0
1720301761.2403007,9496,181.0
1720302165.6072905,10176,209.0
1720302166.0039747,10288,189.0
1720302166.4884963,10424,163.0
1720302166.6909473,10480,141.0
1720302167.5821676,10736,194.0
1720302168.507519,11000,233.0
1720302169.6441817,11328,229.0
1720302169.7616796,11360,134.0
1720302170.1848612,11480,132.0
1720302170.7309523,11632,182.0
1720302172.4212434,12104,138.0
1720302174.0251439,12552,227.0
1720302174.515796,12688,132.0
1720302174.7767642,12760,179.0
1720302575.5029054,12888,191.0
1720302576.7006335,13216,139.0
1720302576.9107757,13272,243.0
1720302578.8472097,13816,158.0
1720302580.0159197,14144,202.0
1720302580.7297952,14336,133.0
1720302580.7700276,14344,207.0
1720302581.568503,14560,225.0
1720302581.8656688,14640,190.0
1720302582.2487385,14744,191.0
1720302583.4881754,15096,276.0
1720302584.6432626,15424,135.0
1720302585.6844444,15712,144.0
1720302585.748678,15728,198.0
1720302586.6982994,15992,272.0
1720302983.9219773,16280,192.0
1720302984.016118,16304,208.0
1720302984.1113613,16328,154.0
1720302984.6594248,16480,132.0
1720302985.095217,16600,283.0
1720302985.7027779,16768,132.0
1720302987.8080425,17360,204.0
1720302988.4036267,17528,131.0
1720302988.7304103,17616,203.0
1720302988.8260183,17640,164.0
1720302989.8295176,17920,202.0
1720302990.0064445,17968,211.0
1720302991.5296812,18376,127.0
1720302992.9888105,18776,142.0
1720302993.1367767,18816,161.0
1720302993.2000835,18832,258.0
1720302994.0429978,19072,129.0
1720303400.3119724,19208,155.0
1720303400.7167559,19320,175.0
1720303402.1063418,19704,166.0
1720303402.7295885,19872,137.0
1720303403.7082944,20136,133.0
1720303404.7841008,20440,203.0
1720303405.2149923,20568,170.0
1720303405.436621,20632,377.0
