Wall time,Step,Value
1720300878.0408974,1024,0.0
1720300878.1094482,1040,0.0
1720300878.2067587,1064,0.0
1720300878.9172432,1256,1.0
1720300879.0741332,1296,1.0
1720300879.8995402,1520,1.0
1720300880.824484,1776,2.0
1720300882.233737,2152,3.0
1720300882.6752596,2272,1.0
1720300883.486939,2504,1.0
1720300883.7743373,2584,2.0
1720300883.8389423,2600,1.0
1720300885.7810974,3160,3.0
1720301324.8300972,3208,1.0
1720301325.7336745,3456,1.0
1720301326.2973635,3616,1.0
1720301326.5029433,3672,0.0
1720301326.7982461,3752,0.0
1720301327.7047312,4008,1.0
1720301328.989661,4368,0.0
1720301330.2231646,4712,2.0
1720301330.5460842,4800,0.0
1720301330.8892744,4896,1.0
1720301332.7180462,5424,1.0
1720301333.8272464,5736,5.0
1720301334.1447191,5824,3.0
1720301334.2382853,5848,1.0
1720301334.303889,5864,0.0
1720301334.3407748,5872,0.0
1720301750.8318434,6504,1.0
1720301750.9269724,6528,0.0
1720301751.5685353,6704,1.0
1720301752.3390274,6920,0.0
1720301754.0124774,7392,2.0
1720301755.3217795,7768,0.0
1720301755.660946,7864,2.0
1720301756.1959891,8016,3.0
1720301756.3117058,8048,1.0
1720301757.8244734,8504,3.0
1720301759.9254203,9120,0.0
1720301759.9856598,9136,3.0
1720301760.1591156,9184,4.0
1720301760.220879,9200,2.0
1720301760.750594,9352,2.0
1720301761.240213,9496,1.0
1720302165.6071985,10176,2.0
1720302166.0038853,10288,1.0
1720302166.4884036,10424,1.0
1720302166.690856,10480,0.0
1720302167.5820785,10736,2.0
1720302168.5074286,11000,2.0
1720302169.6441548,11328,2.0
1720302169.7615893,11360,0.0
1720302170.1847548,11480,0.0
1720302170.7308614,11632,1.0
1720302172.4211516,12104,0.0
1720302174.0250506,12552,2.0
1720302174.5156925,12688,0.0
1720302174.776671,12760,1.0
1720302575.5028098,12888,2.0
1720302576.7005398,13216,0.0
1720302576.9106815,13272,2.0
1720302578.8471115,13816,1.0
1720302580.0158293,14144,2.0
1720302580.7296898,14336,0.0
1720302580.7699351,14344,2.0
1720302581.5684092,14560,2.0
1720302581.865577,14640,2.0
1720302582.2486453,14744,1.0
1720302583.4880788,15096,4.0
1720302584.6431684,15424,0.0
1720302585.6843553,15712,0.0
1720302585.7485888,15728,2.0
1720302586.698211,15992,4.0
1720302983.921885,16280,1.0
1720302984.0160239,16304,2.0
1720302984.1112738,16328,0.0
1720302984.6593304,16480,0.0
1720302985.0951254,16600,4.0
1720302985.7026865,16768,0.0
1720302987.8079505,17360,2.0
1720302988.4035327,17528,0.0
1720302988.7303176,17616,2.0
1720302988.8259294,17640,1.0
1720302989.8294263,17920,2.0
1720302990.0063446,17968,2.0
1720302991.529587,18376,0.0
1720302992.9887102,18776,0.0
1720302993.1366885,18816,1.0
1720302993.199995,18832,3.0
1720302994.0429127,19072,0.0
1720303400.311885,19208,1.0
1720303400.716663,19320,1.0
1720303402.1062484,19704,1.0
1720303402.7294877,19872,0.0
1720303403.7081966,20136,0.0
1720303404.7840106,20440,2.0
1720303405.214907,20568,1.0
1720303405.436535,20632,6.0
1720303406.2033045,20848,0.0
1720303407.0584133,21080,3.0
1720303407.0983114,21088,2.0
1720303409.0973258,21640,2.0
1720303409.7373886,21816,2.0
1720303410.8604507,22128,0.0
1720303411.077097,22184,0.0
1720303411.1466599,22200,2.0
1720303411.7598372,22360,1.0
1720303806.3518052,22568,3.0
1720303808.2572794,23128,1.0
1720303808.3200104,23144,0.0
1720303809.168723,23392,0.0
1720303809.2052953,23400,0.0
1720303809.2987974,23424,0.0
1720303809.9102802,23600,0.0
1720303810.9107015,23888,2.0
1720303811.0331957,23920,4.0
1720303813.7049456,24680,1.0
1720303813.7953727,24704,1.0
1720303813.831919,24712,1.0
1720303814.3063858,24848,2.0
1720303815.1469824,25080,1.0
1720303815.626957,25216,1.0
1720303816.0999317,25352,3.0
1720304217.9837358,25656,3.0
1720304221.1026967,26544,2.0
1720304221.259885,26584,0.0
1720304221.3911343,26616,1.0
1720304221.6285686,26680,2.0
1720304222.0958848,26816,3.0
1720304222.630962,26968,0.0
1720304224.1571763,27416,4.0
1720304224.853574,27616,0.0
1720304226.1432483,27992,1.0
1720304226.1802664,28000,0.0
1720304226.2166371,28008,1.0
1720304227.7153826,28432,2.0
1720304228.0612524,28528,0.0
1720304228.585782,28680,2.0
1720304228.8772697,28760,2.0
1720304616.990358,29016,0.0
1720304619.35135,29704,3.0
1720304619.8384318,29840,0.0
1720304620.990049,30168,2.0
1720304621.6272976,30352,2.0
1720304622.5479746,30616,4.0
1720304622.775536,30680,1.0
1720304622.812763,30688,2.0
1720304623.5274026,30888,0.0
1720304624.6952467,31224,1.0
1720304624.7312932,31232,0.0
1720304625.1151779,31336,2.0
1720304627.206401,31944,1.0
1720305016.9104092,33024,0.0
1720305017.1584842,33080,0.0
1720305017.2699728,33104,0.0
1720305018.724333,33432,1.0
1720305019.0668495,33504,2.0
1720305019.593348,33624,2.0
1720305019.8770869,33688,2.0
1720305021.4772022,34048,0.0
1720305022.6244261,34320,1.0
1720305023.9922943,34624,2.0
1720305024.7332966,34792,0.0
1720305025.4172971,34960,2.0
1720305025.522645,34984,1.0
1720305026.1059306,35120,3.0
1720305026.3144114,35168,0.0
1720305724.7790508,35272,2.0
1720305727.0123694,35792,1.0
1720305727.4308095,35888,0.0
1720305727.6491818,35936,1.0
1720305729.6356316,36400,0.0
1720305729.6796238,36408,1.0
1720305730.0280704,36488,1.0
1720305730.4010785,36576,2.0
1720305731.5348742,36832,0.0
1720305732.8363595,37144,1.0
1720305733.1829321,37224,1.0
1720305734.3445196,37504,0.0
1720305734.4558988,37528,0.0
1720305735.6785436,37808,0.0
1720305735.9915595,37880,1.0
1720305736.203862,37928,2.0
1720306429.769269,38520,0.0
1720306430.1046064,38592,0.0
1720306430.3944914,38656,2.0
1720306431.039435,38808,3.0
1720306431.0818636,38816,0.0
1720306433.8110297,39440,2.0
1720306434.7010303,39648,0.0
1720306435.6313677,39856,0.0
1720306435.8994195,39912,1.0
1720306436.6648958,40072,4.0
1720306437.961276,40344,2.0
1720306438.4155946,40448,0.0
1720306438.846699,40544,2.0
1720306440.6278167,40936,1.0
1720306441.303929,41088,0.0
1720306442.590577,41368,1.0
1720306443.57865,41576,1.0
1720307155.3131382,41976,0.0
1720307155.6686113,42048,9.0
1720307156.1577482,42152,2.0
1720307158.4175043,42624,5.0
1720307159.0570436,42752,2.0
1720307160.3660905,43024,0.0
1720307161.0592792,43176,2.0
1720307162.204562,43440,3.0
1720307163.5919704,43744,2.0
1720307163.7082243,43768,2.0
1720307164.520156,43944,1.0
1720307165.07373,44064,0.0
1720307166.3663094,44336,2.0
1720307167.5453691,44592,1.0
1720307168.4772642,44800,0.0
1720307859.7856557,45304,1.0
1720307859.9404082,45336,0.0
1720307860.0618951,45360,0.0
1720307860.3978705,45432,2.0
1720307860.9023523,45544,1.0
1720307861.2392368,45616,0.0
1720307863.2749312,46064,1.0
1720307863.9004238,46200,1.0
1720307864.951295,46432,0.0
1720307866.485917,46776,1.0
1720307867.01917,46896,1.0
1720307868.9375324,47336,3.0
1720307870.1768022,47616,1.0
1720307870.3706114,47656,2.0
1720307870.9645543,47784,0.0
1720307871.4002745,47880,4.0
1720308591.897532,48544,3.0
1720308592.218095,48608,1.0
1720308592.310694,48624,3.0
1720308592.6056707,48680,3.0
1720308593.1033359,48776,0.0
1720308593.6021671,48872,1.0
1720308594.0269835,48960,1.0
1720308594.9361165,49152,1.0
1720308597.2565796,49640,0.0
1720308598.0341856,49808,0.0
1720308599.5090377,50152,0.0
1720308600.2112896,50304,1.0
1720308601.8534486,50640,3.0
1720308601.983611,50664,3.0
1720308603.148663,50904,1.0
1720308603.2328854,50920,5.0
1720308603.8119068,51048,1.0
1720308604.2594697,51144,1.0
1720309295.3809924,51352,1.0
1720309297.2165003,51760,2.0
1720309297.8442748,51896,0.0
1720309298.6042364,52056,0.0
1720309298.9465892,52128,2.0
1720309299.895051,52328,0.0
1720309300.058613,52360,2.0
1720309300.9966083,52560,3.0
1720309302.9080822,52984,1.0
1720309303.2949345,53064,0.0
1720309303.6348119,53136,1.0
1720309304.4970062,53320,0.0
1720309304.7125614,53368,0.0
1720309306.5994878,53784,1.0
1720309307.4515157,53984,3.0
1720309307.602407,54016,0.0
1720309307.8552706,54072,0.0
1720309308.224692,54152,3.0
1720309309.1965811,54384,1.0
1720310010.4999132,54832,1.0
1720310010.6144025,54856,2.0
1720310012.2343168,55216,1.0
1720310013.1542695,55408,0.0
1720310013.489689,55480,2.0
1720310013.6738236,55520,3.0
1720310013.9654589,55584,2.0
1720310014.0800774,55608,2.0
1720310015.2216432,55848,0.0
1720310016.7630608,56192,0.0
1720310017.3130262,56320,2.0
1720310018.4171004,56568,0.0
1720310018.6100628,56608,0.0
1720310018.725732,56632,1.0
1720310019.0207055,56696,1.0
1720310020.3885448,57000,2.0
1720310020.6822128,57064,1.0
1720310023.0900655,57600,0.0
1720310763.5971358,57696,2.0
1720310763.9816108,57784,1.0
1720310764.5066328,57904,1.0
1720310765.439577,58104,2.0
1720310767.111171,58464,2.0
1720310767.4623704,58544,2.0
1720310768.595215,58800,1.0
1720310769.0120256,58896,1.0
1720310769.3993452,58984,1.0
1720310769.9991732,59112,1.0
1720310771.144205,59360,7.0
1720310771.9961405,59544,0.0
1720310772.1211104,59568,2.0
1720310772.57765,59664,1.0
1720310774.1662536,60008,1.0
